"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,3,1,2,1,2,3,0,1
3,3,13,69,68,63,56,51,46,2
2,4,11,107,98,89,70,56,50,0
6,5,12,31,31,30,21,18,15,5
3,2,10,38,37,34,25,24,19,1
1,4,7,20,15,15,12,10,10,0
1,3,7,13,12,14,10,8,8,3
4,5,12,21,21,22,19,17,18,2
3,4,12,24,23,24,20,18,18,3
1,2,6,10,11,10,10,8,6,2
0,0,0,0,0,0,1,1,2,0
2,4,13,68,70,64,58,50,47,0
2,2,13,107,101,91,71,57,50,0
5,4,11,32,30,29,19,19,15,5
2,3,9,39,38,34,25,20,18,1
1,5,9,17,16,16,11,9,8,2
1,1,8,13,13,13,10,9,6,2
4,4,13,20,21,22,19,18,18,3
2,3,13,24,24,23,20,20,17,2
1,2,5,9,10,9,8,8,7,2
0,0,0,1,0,1,2,0,3,0
2,3,16,69,68,65,57,50,46,0
4,1,12,107,100,91,69,58,50,2
4,3,10,34,32,28,22,19,14,4
1,3,9,39,38,37,25,21,20,0
2,3,9,16,15,16,11,9,8,3
4,1,8,13,14,13,9,9,6,3
5,3,14,21,22,21,18,18,16,3
0,2,12,23,24,23,21,19,18,3
1,3,4,10,9,9,7,8,7,1
0,0,3,2,1,2,1,1,0,0
2,1,14,69,69,66,57,52,46,2
1,2,13,108,102,89,70,58,50,1
4,6,10,34,32,29,22,17,15,3
2,3,12,37,35,36,25,21,19,2
4,2,9,17,18,16,10,11,7,4
2,3,5,14,13,13,9,8,8,3
4,6,12,22,22,20,20,17,18,2
3,5,13,23,23,22,20,18,17,2
4,1,6,8,9,11,7,8,5,3
0,0,0,2,3,1,1,1,2,0
3,5,14,72,70,65,59,51,47,3
1,4,13,109,100,91,71,57,50,0
6,5,11,32,30,31,23,19,16,4
3,3,9,37,38,35,25,22,17,1
2,5,7,17,16,15,12,8,8,2
1,1,6,14,12,13,10,10,8,2
5,5,13,23,21,21,21,17,17,5
2,4,14,21,22,23,20,19,19,2
1,2,5,10,10,9,7,10,6,1
0,1,0,3,3,2,1,1,2,0
0,3,14,70,68,65,59,51,45,2
2,1,15,109,100,91,70,58,49,0
5,4,11,31,31,31,22,19,15,3
1,1,9,37,38,35,26,21,18,1
3,3,6,18,16,15,11,9,8,3
3,1,7,14,13,14,8,9,8,2
7,5,13,20,21,20,19,18,16,5
2,4,14,23,24,22,20,19,17,3
2,2,4,10,10,9,9,8,7,1
0,0,1,2,2,1,2,2,1,0
0,4,14,70,70,65,56,52,45,1
1,1,11,107,101,89,71,57,50,3
5,6,10,32,30,27,21,16,16,3
3,4,10,40,37,36,26,22,16,1
2,5,8,17,17,16,11,10,8,3
0,3,6,13,14,14,10,8,8,2
5,6,12,22,22,20,19,18,17,5
2,5,12,24,24,22,21,18,18,2
2,1,6,10,9,9,9,9,7,1
0,0,3,1,3,2,0,0,0,0
0,5,13,69,69,65,57,50,46,2
2,3,11,109,101,90,71,56,51,2
6,5,12,34,31,30,20,18,15,3
3,2,9,36,36,36,24,23,17,0
2,6,7,16,18,14,12,9,8,4
3,1,7,15,14,13,10,9,8,2
6,4,13,23,22,21,19,17,17,3
2,4,14,23,23,22,20,20,16,3
1,2,5,10,9,9,8,8,6,0
0,0,2,2,3,1,2,0,2,1
1,3,13,70,69,65,58,51,48,2
2,1,13,110,101,90,71,58,50,0
5,5,9,32,32,29,20,19,15,4
1,5,8,36,35,35,26,21,18,3
3,3,9,18,16,14,11,10,7,3
2,0,8,15,14,13,10,9,8,2
6,4,14,22,22,21,18,18,16,4
2,5,12,23,24,23,20,19,16,4
1,3,4,10,10,10,9,7,7,2
0,0,2,2,2,1,2,2,2,0
5,2,15,72,69,67,57,52,47,0
0,2,12,110,104,92,71,57,49,0
7,6,9,33,31,30,22,17,17,8
3,4,10,39,38,35,26,20,19,2
4,2,8,18,17,16,11,12,8,2
1,2,8,13,14,14,11,9,7,2
5,6,13,20,23,21,19,17,17,3
2,4,11,24,24,22,20,18,17,4
3,2,5,11,10,9,8,9,6,2
0,0,3,1,0,3,1,2,1,0
0,4,14,70,71,67,58,52,47,1
0,3,12,110,103,92,73,57,51,1
7,5,10,33,31,29,21,17,15,3
3,1,9,37,36,35,25,22,19,1
2,4,8,16,16,17,12,10,7,4
2,4,7,14,13,12,10,8,7,2
6,6,13,21,22,21,20,17,18,3
3,3,11,23,23,21,20,18,18,3
1,0,5,9,8,8,7,8,7,1
0,0,2,1,2,2,2,1,1,0
1,3,12,70,71,66,60,51,48,1
3,2,13,110,105,91,72,58,50,3
6,4,12,33,30,30,20,19,16,3
2,1,10,37,37,36,25,22,17,0
2,5,8,18,16,14,11,9,7,3
2,2,5,13,14,13,9,9,7,2
6,5,12,22,22,20,20,18,19,5
0,2,12,23,22,23,20,20,18,3
1,4,6,7,8,9,7,7,5,1
0,0,1,2,1,0,3,1,0,0
2,2,13,70,70,66,58,51,49,2
3,2,12,110,102,94,72,58,51,0
5,4,10,32,32,29,21,19,16,4
3,3,9,38,38,36,26,21,17,3
3,4,7,17,16,16,11,10,7,2
4,1,7,15,13,13,9,9,9,2
4,3,13,22,21,21,20,18,17,5
1,3,13,22,23,23,20,19,17,2
2,3,4,8,8,9,7,7,6,1
1,0,1,2,2,1,0,2,1,0
1,1,13,72,70,66,59,51,48,0
