"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
14,16,6,1,0,3,12,73,35,74
16,19,6,0,0,6,14,81,39,96
13,14,5,1,3,6,12,42,26,43
18,17,7,3,4,6,12,30,16,24
13,14,6,2,1,6,19,31,19,28
15,15,6,0,0,8,18,40,20,29
11,13,5,4,4,7,13,28,15,22
14,13,4,2,0,6,17,94,29,50
17,15,5,0,0,4,20,118,34,60
15,16,7,0,0,4,16,66,33,52
17,16,4,1,2,4,11,79,33,72
17,15,5,0,0,4,15,79,33,96
14,13,5,0,1,3,15,42,25,43
16,18,6,2,4,4,14,28,18,24
14,13,6,5,3,6,16,35,20,25
12,13,7,4,0,7,16,42,19,30
11,13,8,2,3,7,13,26,16,23
16,16,4,0,1,1,17,94,32,49
18,16,3,0,1,4,16,123,36,60
17,16,4,1,0,6,15,67,30,53
13,14,4,0,2,5,16,73,32,71
16,17,6,1,0,1,16,79,40,98
15,14,6,3,1,7,13,44,27,45
15,16,7,4,4,7,14,30,16,26
13,15,6,3,4,6,21,31,18,25
13,15,4,1,2,6,17,41,22,29
13,13,6,2,3,7,11,28,17,23
16,16,4,0,0,5,17,96,30,48
15,16,5,0,2,4,18,121,33,61
15,17,6,1,2,3,17,64,30,54
15,14,0,0,1,8,13,76,36,71
17,13,3,2,0,6,13,82,38,96
12,12,7,2,3,5,15,41,25,46
17,15,7,2,4,5,15,29,17,26
14,15,6,3,2,7,16,32,19,25
12,14,5,3,0,9,16,43,21,31
12,11,6,3,2,8,13,28,16,23
15,15,7,0,2,2,17,94,32,50
18,17,4,0,0,6,15,123,38,62
17,15,3,1,0,6,14,67,29,53
15,14,6,0,0,2,18,78,33,75
11,17,4,0,0,0,15,76,39,98
15,15,2,1,2,8,11,40,28,44
17,16,5,2,3,6,13,31,19,24
12,12,5,3,1,8,18,32,17,27
14,15,7,4,2,6,18,38,19,30
13,12,5,1,5,5,12,28,19,23
18,18,4,0,2,6,14,96,32,48
16,18,3,3,0,6,20,124,33,62
15,15,4,0,1,3,18,67,30,54
17,16,5,0,1,4,15,73,38,73
14,16,5,1,0,7,14,80,41,95
16,14,5,2,0,6,11,42,27,45
15,15,7,3,1,5,13,30,15,25
13,13,7,1,4,6,21,32,18,26
15,17,5,0,2,7,15,42,22,30
13,12,7,3,0,7,13,28,16,23
12,15,5,1,0,2,16,95,30,50
16,18,7,0,2,2,18,122,37,66
15,15,4,1,1,5,15,67,31,53
16,16,6,3,0,5,13,78,36,73
15,14,4,0,0,2,16,84,39,100
10,12,4,1,4,4,15,40,26,45
15,17,7,4,3,5,12,29,19,24
14,16,7,4,0,8,18,34,19,27
13,13,6,3,2,5,17,42,19,29
13,11,6,0,4,5,14,27,16,24
16,14,5,0,0,5,17,95,32,48
18,19,3,1,0,6,16,123,38,60
15,18,5,2,0,4,15,70,33,52
15,14,5,1,2,2,17,77,34,75
15,15,7,0,0,8,15,79,38,99
14,15,3,3,1,5,13,43,28,44
15,15,8,3,1,5,15,30,18,26
12,13,6,2,3,5,19,32,18,27
15,14,5,1,1,9,16,41,19,29
14,14,4,4,2,6,12,30,16,23
17,16,6,2,0,4,16,96,31,51
15,15,2,0,2,4,21,124,36,63
15,15,4,0,0,5,16,67,31,54
16,15,4,2,0,7,13,79,35,74
16,16,3,0,0,1,14,83,35,99
15,15,6,0,1,5,15,42,26,45
17,17,7,2,3,6,15,30,18,24
14,15,4,4,0,7,19,32,18,24
14,15,6,3,1,7,16,44,21,31
11,9,6,3,5,5,14,28,16,24
14,14,6,0,2,5,19,96,29,49
17,22,4,2,0,6,18,124,39,61
16,16,4,2,0,5,14,68,31,53
15,14,3,0,0,3,16,80,34,73
17,19,5,0,0,5,17,81,40,100
13,15,4,3,0,7,12,42,26,44
17,17,8,4,1,5,12,30,16,24
13,12,5,4,5,6,20,34,20,25
11,14,7,1,4,5,16,42,21,33
