"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
16,17,2,0,5,6,15,7,1,3
16,15,3,1,7,7,15,6,6,5
15,14,5,4,6,10,10,14,4,5
6,7,4,2,4,6,7,11,1,5
7,8,4,3,4,8,7,6,1,7
11,13,4,2,5,12,10,9,3,6
13,15,5,2,5,13,11,12,2,6
18,15,7,5,3,17,16,14,0,6
17,17,3,2,4,17,13,8,2,6
15,16,3,3,7,18,11,11,1,6
19,15,4,4,3,21,11,10,1,7
12,15,4,0,2,16,9,7,0,3
13,9,7,3,6,11,10,14,2,6
8,7,4,2,6,7,6,11,5,3
8,8,3,0,7,6,8,9,1,5
11,9,8,1,8,12,13,12,1,4
12,13,3,0,6,17,11,9,2,2
16,15,4,1,10,20,14,14,0,3
16,13,4,1,9,18,13,11,0,4
11,13,4,1,8,19,10,9,1,1
15,15,3,0,11,21,10,9,2,2
14,13,5,0,10,14,10,10,1,3
13,13,4,3,6,10,5,14,4,6
8,8,5,1,7,8,6,13,3,5
6,8,3,1,6,8,7,13,1,6
14,12,4,2,6,12,8,13,2,6
15,15,3,0,4,14,8,13,2,5
15,15,4,0,5,17,8,17,1,5
19,14,3,3,6,17,11,13,2,5
11,15,3,1,3,18,9,10,3,3
16,17,4,1,4,18,7,10,1,4
14,12,5,2,7,13,6,10,1,7
12,10,8,3,2,9,7,15,1,6
9,7,4,3,5,8,5,10,2,5
7,10,4,2,4,7,5,9,4,6
13,10,8,3,5,9,9,14,1,5
12,14,3,2,5,13,10,10,1,5
18,16,4,1,5,15,10,10,4,2
13,15,7,3,10,14,8,9,1,5
13,15,6,0,6,15,8,11,1,4
15,16,3,0,7,19,8,6,5,0
11,13,8,0,10,15,7,8,1,5
13,9,5,3,1,9,6,14,1,6
7,7,4,3,4,11,8,13,1,4
9,13,4,5,4,12,6,9,3,6
13,10,4,5,4,12,9,12,2,6
12,13,3,3,4,15,10,12,0,7
15,16,3,3,1,18,10,11,2,6
16,13,1,5,3,16,8,9,1,5
12,12,3,2,1,18,7,10,1,6
13,16,2,2,0,19,9,8,1,2
13,12,4,5,3,20,8,9,4,4
11,13,6,2,4,11,6,11,4,5
9,9,6,2,4,7,7,11,4,6
9,7,6,2,3,8,10,11,3,6
9,12,4,0,2,14,8,12,4,4
13,14,5,1,4,15,9,8,1,5
11,10,5,0,1,19,11,10,0,5
16,15,4,1,2,17,10,8,3,4
10,13,8,2,4,19,10,6,0,5
13,12,3,0,0,19,8,6,1,4
11,13,7,1,2,14,9,10,2,5
9,9,6,4,5,8,8,11,3,7
6,8,4,4,0,9,7,11,3,4
8,8,6,3,1,9,7,8,1,7
10,8,5,1,5,11,7,11,3,9
10,11,3,3,2,10,11,9,1,5
14,12,4,1,2,15,13,8,0,4
13,11,4,0,2,15,8,9,0,6
10,11,5,2,7,10,7,8,3,5
11,12,3,0,5,14,11,4,4,4
9,10,5,1,7,14,8,8,2,4
14,12,6,4,7,1,11,12,4,5
11,11,8,3,5,2,9,10,5,5
12,11,5,0,6,3,9,9,4,4
11,15,6,4,10,3,10,12,3,6
17,19,3,4,6,1,15,9,4,5
18,19,6,1,7,4,20,9,1,1
18,20,4,2,9,3,11,9,2,5
14,17,4,1,7,4,15,8,2,5
18,18,4,3,6,6,14,6,3,2
15,16,5,3,8,3,9,9,2,5
12,12,6,2,5,6,8,12,0,4
8,11,4,4,1,5,8,11,3,6
10,10,2,4,1,4,6,6,1,4
13,13,6,2,7,7,12,10,0,5
16,17,1,1,8,4,14,10,0,7
22,17,3,2,7,6,17,10,1,5
19,18,4,3,6,10,13,7,1,3
16,15,2,2,4,6,11,8,1,4
17,17,5,4,5,3,9,8,0,5
14,16,5,3,6,5,12,7,4,6
14,12,6,2,4,5,10,12,3,6
8,11,4,2,6,3,7,13,2,5
9,8,5,3,3,0,7,6,4,4
13,12,5,1,5,2,12,11,3,4
15,19,4,2,8,5,11,10,1,5
17,18,2,3,5,1,16,9,2,6
18,18,4,3,2,2,11,9,2,4
14,16,4,1,6,4,11,8,1,2
16,16,0,0,7,1,8,8,0,2
13,15,5,3,4,3,10,8,1,5
14,12,5,4,4,2,7,13,6,6
9,9,4,2,5,4,8,12,3,5
8,7,5,1,5,6,2,8,1,3
12,13,3,2,7,1,7,11,2,6
17,16,4,2,3,0,8,8,1,4
19,16,6,0,5,3,4,12,0,3
21,18,4,1,8,1,5,9,1,4
14,15,4,2,7,0,8,6,3,4
17,14,7,2,3,1,6,8,3,6
14,14,6,1,9,3,5,7,0,2
12,13,7,4,2,4,2,13,3,4
9,9,4,1,7,1,5,13,4,8
8,5,5,2,5,2,6,8,3,6
13,14,5,3,4,3,5,9,3,4
15,17,3,1,6,1,1,9,0,5
21,20,2,1,8,1,5,8,0,5
17,17,4,4,5,1,4,9,2,5
15,16,4,1,7,5,4,8,0,3
17,19,2,0,6,2,4,7,0,4
15,14,3,2,6,0,5,8,5,5
10,13,4,3,3,6,3,14,2,6
10,10,5,3,7,4,5,12,3,6
8,9,4,2,3,2,3,9,4,5
12,13,5,2,4,3,2,9,0,4
20,18,5,0,7,0,2,10,0,3
19,20,4,2,8,0,5,8,1,4
21,19,4,2,6,2,2,10,2,3
16,14,7,0,5,2,3,8,4,4
20,19,2,2,8,0,7,4,0,4
18,13,3,3,5,2,2,9,3,6
11,13,8,4,4,3,4,13,5,8
10,9,4,3,6,6,2,13,3,4
9,10,5,2,6,2,3,7,0,5
13,9,4,3,2,2,3,9,3,6
16,18,4,3,6,2,1,12,1,4
19,20,4,0,6,2,0,12,0,4
