"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
8,9,6,2,6,3,5,12,6,13
11,12,5,0,8,6,5,13,9,12
8,12,9,3,10,4,3,11,6,14
19,18,4,1,10,2,1,17,7,19
19,23,4,0,11,1,3,16,7,21
18,19,6,1,9,3,4,13,5,17
15,16,4,1,9,3,3,11,5,16
22,21,4,1,9,2,0,15,7,32
16,19,4,3,7,2,4,11,9,26
13,14,5,5,7,8,5,17,8,15
10,8,2,1,4,6,2,11,5,12
11,10,3,2,10,7,0,17,3,12
12,13,3,4,9,6,0,12,6,12
18,17,4,1,12,10,4,13,5,19
20,17,3,3,11,10,0,16,4,19
20,18,4,0,11,6,1,15,5,21
15,14,5,4,9,7,3,9,6,17
20,16,4,0,7,8,2,10,8,31
19,15,5,0,9,6,0,11,5,24
14,13,5,2,8,5,3,17,7,15
8,10,7,2,7,4,5,13,4,10
14,12,4,2,8,6,2,12,6,12
9,12,5,3,9,5,3,15,5,15
19,20,4,2,11,3,3,14,7,21
19,20,3,1,8,4,2,16,6,19
20,21,4,1,11,5,0,14,3,18
13,16,1,2,10,3,4,11,6,16
22,20,4,2,6,4,2,12,5,27
19,18,4,3,6,7,2,11,5,23
12,12,5,3,8,10,5,16,3,11
8,8,3,1,7,5,3,14,3,12
13,11,6,4,6,8,6,14,3,15
10,10,6,3,9,11,6,11,5,12
18,15,5,0,11,16,4,17,1,18
22,18,5,2,11,12,4,15,2,21
20,17,3,0,9,10,7,13,5,20
19,14,7,1,7,11,4,10,1,14
19,19,4,1,9,12,0,11,0,26
16,17,3,3,9,8,6,9,2,20
13,13,7,2,6,13,8,21,5,14
11,12,2,2,10,13,5,18,2,10
11,13,3,4,9,12,4,17,4,11
11,12,5,3,6,11,5,15,4,14
18,19,4,0,8,26,6,33,3,18
21,22,4,0,10,19,4,24,4,15
18,19,5,0,9,14,9,20,0,16
18,15,4,1,7,10,9,14,5,14
19,19,4,0,9,15,6,15,6,20
19,15,3,2,10,12,5,17,3,16
15,16,7,2,9,16,11,28,4,12
8,10,3,3,10,8,10,20,2,12
12,10,5,4,6,11,12,20,5,13
12,12,6,2,7,14,11,20,6,12
15,18,1,1,10,31,15,73,2,17
20,19,3,3,9,18,20,34,4,14
19,20,5,0,6,16,22,30,4,18
15,18,4,1,11,15,14,20,4,16
18,23,1,2,9,13,14,22,4,18
14,16,2,2,4,11,13,19,5,15
13,13,4,1,9,12,13,26,10,13
11,9,6,3,7,8,13,21,9,14
12,10,7,2,6,12,13,22,8,12
13,11,4,1,8,12,12,20,7,11
19,16,3,3,11,21,25,107,7,13
21,18,5,3,9,17,31,40,9,16
21,20,2,0,7,16,28,32,9,13
15,16,5,2,9,12,16,22,6,11
18,20,2,3,11,11,18,24,7,15
16,18,4,4,8,12,16,20,9,13
13,17,4,4,4,15,18,24,12,12
9,10,6,4,3,10,15,20,11,13
10,12,5,3,2,9,16,21,12,10
11,15,3,1,4,10,15,17,12,9
17,17,1,0,1,20,39,71,28,15
19,20,5,1,4,16,80,35,20,15
20,20,4,4,2,14,34,27,16,10
17,16,4,1,0,7,23,18,13,11
23,20,4,1,7,11,21,18,10,13
15,16,5,5,5,11,20,18,15,11
13,13,8,3,2,10,19,22,4,12
9,13,5,1,4,9,15,14,2,10
12,10,6,2,7,10,16,14,5,10
12,9,4,3,3,10,18,17,6,12
18,19,3,0,5,21,46,43,6,12
20,19,2,1,6,14,171,27,3,9
20,17,2,1,6,11,41,21,5,9
15,19,3,4,3,12,23,14,6,9
18,22,4,1,4,10,23,19,5,8
18,18,3,1,8,10,22,13,3,6
11,13,8,3,3,9,20,21,3,12
8,10,7,2,3,11,15,20,4,10
9,9,4,1,3,11,16,17,2,8
11,9,5,2,6,9,15,14,1,7
17,17,5,2,4,18,36,56,2,10
21,20,4,0,4,15,87,28,2,11
17,19,4,0,4,13,32,21,1,7
16,14,3,2,7,10,18,15,0,6
21,19,5,3,1,11,19,17,2,7
17,17,4,0,5,11,19,18,4,8
13,13,6,3,3,5,10,27,2,10
12,12,2,2,7,4,9,19,3,9
11,11,5,2,5,5,7,16,3,10
10,10,5,2,3,7,10,19,3,9
18,21,5,2,2,4,16,57,0,8
17,20,5,1,5,1,20,44,0,12
19,19,3,2,3,7,11,28,2,10
13,17,5,1,4,4,9,19,3,5
20,19,4,0,7,2,10,18,0,6
18,15,2,4,3,5,6,15,0,8
12,9,6,4,4,3,5,20,3,12
9,8,6,1,3,3,6,17,4,11
8,8,3,0,3,2,6,13,3,6
11,9,4,2,6,2,3,10,0,8
14,14,3,1,5,2,4,28,2,12
20,17,4,1,3,3,4,21,2,8
16,17,3,0,5,2,5,17,0,6
12,14,3,2,5,3,4,12,2,10
17,17,4,5,1,2,0,14,3,5
13,15,4,1,4,2,4,16,1,8
11,11,7,3,3,1,3,15,2,12
9,10,4,1,5,3,2,14,3,11
9,11,3,3,4,1,1,11,2,6
6,9,4,1,6,3,4,10,2,8
15,13,4,4,6,1,0,16,1,9
14,15,5,3,5,2,3,19,2,11
15,14,5,1,5,1,5,16,2,8
14,13,3,3,6,2,2,10,0,8
15,13,5,4,2,1,2,9,0,9
14,15,7,3,5,0,2,9,4,7
9,12,5,1,1,4,8,16,4,10
10,11,4,0,4,1,6,11,0,7
8,8,5,0,4,4,6,10,2,11
9,11,5,4,4,3,4,10,5,9
18,17,5,1,6,3,12,15,1,8
18,19,2,0,5,4,11,16,0,10
18,18,2,2,6,8,6,10,1,9
12,14,5,4,5,4,7,10,1,6
18,20,5,1,5,3,5,10,0,4
17,17,4,1,5,5,5,7,0,9
13,12,8,3,3,3,4,15,3,11
9,8,4,2,5,2,7,12,4,8
9,7,3,3,5,3,3,10,0,6
10,9,6,3,3,4,5,11,0,11
15,18,5,1,6,1,4,17,2,7
20,19,3,0,6,2,5,19,3,9
18,16,2,2,8,3,3,12,1,8
16,14,6,2,6,1,4,8,1,8
17,19,4,0,5,1,4,12,3,5
16,15,1,2,6,4,6,12,2,10
12,15,5,3,3,3,9,21,3,9
9,8,2,2,2,4,4,15,0,9
10,8,5,1,5,3,8,15,2,7
9,11,5,1,6,2,8,16,1,9
18,17,3,2,5,6,12,37,0,8
18,18,1,4,7,2,14,50,0,9
19,19,4,0,7,1,9,26,2,7
15,16,4,3,7,4,10,19,2,6
20,17,2,4,6,2,10,19,0,7
16,15,4,2,9,2,10,14,2,6
13,14,7,2,5,1,8,18,5,11
9,8,4,3,8,1,10,13,4,5
9,9,4,1,8,4,9,13,0,10
11,9,3,3,7,4,8,11,2,11
17,18,4,0,11,1,11,23,3,7
19,20,5,0,9,2,16,22,0,9
17,17,2,1,8,5,11,15,2,10
15,14,3,4,8,1,6,11,2,6
16,19,4,0,7,1,8,12,3,9
15,18,4,1,6,4,9,12,0,10
11,12,6,4,8,4,5,12,6,8
11,12,5,0,6,2,4,10,4,7
11,12,5,2,9,4,6,10,6,10
9,9,2,4,6,1,2,8,4,8
19,16,5,1,10,0,1,10,5,6
18,19,5,0,11,2,3,11,2,10
20,18,2,1,7,1,5,8,0,8
14,14,4,2,9,2,4,5,1,5
17,21,7,0,10,0,3,4,0,6
18,18,4,0,9,1,6,8,2,8
12,13,8,2,8,5,7,14,8,8
6,8,2,4,8,4,5,9,6,8
12,10,8,5,8,1,4,10,8,6
11,12,7,2,7,2,6,12,10,8
16,18,4,1,10,2,5,14,12,9
18,16,3,4,12,3,3,10,12,7
19,16,5,1,9,3,3,7,10,6
14,17,4,2,6,3,4,6,9,8
20,18,0,5,9,5,5,9,6,6
16,13,4,1,9,3,6,7,9,8
12,13,7,3,10,3,5,12,5,7
10,10,3,3,7,2,3,11,4,8
10,12,4,3,10,2,7,11,4,7
13,14,6,1,11,1,4,11,5,7
17,17,4,2,11,0,2,11,5,8
17,18,2,3,10,3,3,12,3,6
19,17,5,1,12,4,5,9,3,7
15,14,6,3,9,4,4,9,3,5
18,20,1,1,6,0,1,9,4,6
15,13,4,0,8,2,5,9,4,5
12,13,6,4,7,6,8,15,5,11
8,8,6,2,7,3,8,8,3,7
11,13,5,0,7,1,5,12,7,7
13,15,6,3,9,2,6,13,2,9
15,18,3,1,9,1,6,8,4,7
19,18,5,1,13,3,5,9,5,7
18,19,5,2,9,1,4,11,3,5
15,17,3,2,7,3,7,8,2,6
20,17,4,1,12,2,6,6,6,2
13,16,5,2,8,0,4,8,2,7
12,11,8,4,10,3,7,13,5,9
10,10,4,1,10,1,6,11,4,10
12,12,4,3,11,3,10,14,5,9
15,13,7,2,9,4,9,11,5,10
16,15,3,0,13,1,7,11,2,9
20,19,3,2,12,0,7,11,5,6
19,18,4,2,8,2,6,10,5,8
14,15,5,3,10,5,6,6,3,8
18,17,5,0,10,0,6,8,2,9
14,18,2,4,7,0,8,10,5,5
12,12,6,2,12,6,6,11,9,9
10,10,5,1,9,3,5,12,7,7
13,17,4,1,10,0,7,14,6,9
13,15,4,1,14,3,7,10,11,7
18,18,4,0,15,0,4,9,7,7
18,20,1,0,16,0,2,11,8,6
20,21,3,1,12,2,4,8,8,6
17,15,5,0,11,2,6,8,7,5
17,21,3,2,15,1,5,8,6,7
16,18,3,0,9,1,4,7,7,5
11,14,6,5,9,7,5,14,9,11
8,9,5,4,6,6,5,14,10,6
13,12,5,4,13,7,8,13,12,9
14,15,5,2,11,8,5,13,13,10
18,19,2,3,11,5,3,12,22,7
20,21,4,0,12,5,4,12,19,8
19,18,4,2,11,8,4,10,16,8
14,16,3,4,10,5,4,10,11,7
19,19,2,2,8,2,3,9,16,4
17,16,3,2,8,8,4,9,12,5
18,13,7,4,8,7,8,17,12,8
13,12,4,1,8,2,6,17,8,5
13,11,5,2,9,7,9,19,12,7
14,15,5,2,14,7,10,19,14,10
17,19,2,2,15,5,6,30,21,7
21,21,3,3,11,3,7,21,16,7
18,17,2,0,10,2,7,20,15,7
15,17,2,1,10,5,8,14,9,7
18,19,2,3,8,6,4,16,10,8
17,16,2,1,6,5,7,12,10,6
15,16,5,4,7,4,5,21,20,9
10,13,5,3,8,4,4,17,16,10
12,12,8,1,9,2,3,20,20,7
14,17,5,3,10,3,3,18,20,6
19,20,4,0,8,2,2,38,68,7
19,21,6,1,14,5,4,33,36,6
20,19,5,3,11,3,0,27,27,7
17,19,5,0,8,1,5,16,19,5
20,19,9,0,6,2,1,18,17,3
17,16,5,1,8,4,0,15,16,6
13,14,6,2,3,7,5,28,17,10
11,12,3,4,4,4,4,23,13,7
9,11,5,4,5,5,8,25,16,10
14,11,2,0,4,6,6,19,12,7
17,18,1,3,6,7,4,86,63,10
23,22,3,2,5,3,5,72,33,9
19,19,4,0,3,3,7,46,24,8
17,15,2,2,3,5,5,26,18,8
15,18,0,2,3,3,3,25,17,7
16,16,6,3,7,4,7,19,14,4
14,14,7,2,4,4,9,28,11,9
10,10,4,4,6,5,4,20,11,10
15,12,6,2,5,5,8,20,12,6
