"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
9,8,9,3,18,29,23,25,14,18
7,8,7,6,26,41,31,38,17,22
5,9,6,5,28,55,38,46,18,23
10,9,3,5,18,33,25,29,16,13
12,9,5,1,49,234,95,86,17,17
10,0,5,0,70,488,127,100,18,25
9,8,0,10,60,384,108,79,18,13
2,12,3,4,52,381,105,72,19,13
11,6,9,0,55,384,101,74,13,18
11,7,4,6,33,55,39,37,13,13
11,9,7,4,18,27,22,24,11,13
6,8,5,4,24,42,29,39,17,19
11,8,1,8,26,55,38,48,14,22
8,11,8,5,22,34,26,29,11,19
11,7,4,2,50,232,95,89,19,15
7,5,4,4,58,487,127,99,23,10
7,13,4,2,53,382,101,79,17,19
6,9,2,0,60,373,101,83,10,18
15,2,4,5,60,374,101,78,20,15
10,11,2,7,30,57,40,32,15,12
9,10,5,5,16,28,21,25,13,13
9,11,7,4,23,42,29,36,16,17
9,6,6,0,30,55,38,50,13,28
9,10,5,7,21,33,27,29,13,15
5,14,2,9,47,234,94,86,22,13
14,13,8,0,53,483,124,98,18,19
11,6,5,0,61,369,98,87,13,16
9,11,0,5,62,362,97,78,20,16
2,12,1,5,54,366,104,75,20,13
11,9,7,5,27,56,38,36,12,13
10,9,9,5,16,28,21,24,11,13
10,8,3,1,23,42,26,38,16,21
7,10,4,5,30,55,37,48,13,24
9,10,4,8,19,33,26,28,14,14
10,6,7,4,47,234,93,84,17,12
16,6,6,0,62,483,117,100,13,18
9,12,0,0,58,363,96,79,15,20
9,12,2,5,55,358,94,73,18,12
9,5,1,3,50,363,99,75,20,12
12,8,6,4,27,55,37,37,9,13
13,10,7,3,17,27,20,25,12,15
6,9,5,7,26,42,30,39,18,22
8,12,1,7,24,54,40,45,18,24
8,11,10,5,19,35,26,30,12,14
15,7,7,0,46,234,91,90,18,17
11,14,0,0,59,475,119,100,16,22
6,17,2,10,56,350,98,74,19,18
10,7,3,5,48,348,97,78,19,15
16,8,7,0,50,349,95,80,8,12
9,13,6,3,30,54,38,34,13,13
9,9,5,4,17,26,21,24,13,16
8,12,2,8,24,41,31,38,18,19
11,10,5,6,24,59,40,48,17,20
12,8,6,4,17,33,28,32,10,15
9,9,6,0,44,232,88,91,16,18
11,18,0,4,58,472,119,97,27,22
9,10,2,7,45,335,98,81,19,13
13,7,8,3,51,331,90,81,13,13
14,13,0,0,52,334,92,77,15,20
7,15,3,5,25,53,41,33,14,13
11,11,6,7,20,28,22,23,15,14
9,12,4,6,22,43,33,37,20,20
11,8,9,3,23,55,38,50,13,21
11,8,7,2,23,33,26,28,12,16
5,15,0,0,48,235,91,87,19,17
7,14,5,5,55,472,122,97,22,15
15,2,10,4,52,330,91,86,22,16
8,12,5,0,56,327,94,77,9,18
4,17,2,0,51,325,98,78,17,18
9,11,2,6,27,55,40,34,16,14
11,12,6,6,16,26,22,24,18,14
10,10,8,6,22,44,30,41,18,19
8,10,3,0,28,55,36,50,14,24
9,13,1,2,20,33,27,26,15,16
8,8,4,6,44,232,93,89,23,17
18,8,4,4,53,472,117,102,21,13
13,14,3,3,55,332,92,78,16,13
7,12,0,0,55,326,94,75,18,24
12,10,0,0,50,327,95,75,18,18
12,9,7,5,27,54,35,36,14,11
11,8,9,5,16,28,22,26,13,12
10,10,6,4,24,41,29,38,16,20
6,12,1,1,23,57,38,47,13,27
11,9,4,5,17,33,28,29,15,18
10,6,9,6,47,231,91,93,19,14
11,10,8,0,55,470,116,106,16,13
4,15,1,0,51,334,101,73,16,14
8,14,0,4,54,326,96,72,19,20
15,3,0,3,43,332,91,84,19,14
9,10,6,3,27,54,37,36,12,13
10,10,7,2,19,28,20,24,12,14
8,11,1,3,23,41,31,38,16,23
10,8,2,3,23,55,42,47,19,25
10,7,9,6,20,33,25,30,12,15
8,8,6,0,44,233,90,95,19,16
7,19,4,0,57,466,124,94,18,20
15,12,0,8,52,339,99,80,21,18
15,2,2,4,44,337,92,84,22,13
10,14,10,0,51,338,95,79,13,13
8,12,6,5,29,52,40,35,13,14
11,10,5,3,16,26,22,23,13,14
11,10,1,5,22,40,32,36,19,21
10,6,4,6,27,55,35,53,18,22
7,10,10,4,18,34,26,30,12,15
8,13,5,0,47,228,93,88,17,19
11,9,0,1,52,463,123,99,21,19
15,4,2,6,47,350,95,80,21,11
7,9,5,0,45,345,99,80,19,14
4,15,0,1,52,344,99,81,12,16
12,12,5,8,26,55,37,33,12,13
13,11,7,5,18,28,21,23,12,17
8,6,3,4,22,43,27,40,20,18
4,5,6,1,24,54,35,51,16,22
9,12,8,5,21,33,28,27,12,17
9,10,0,1,45,226,92,88,18,17
16,10,1,0,56,464,115,100,21,20
8,4,6,0,51,357,96,86,21,14
6,10,5,0,53,350,95,78,13,12
6,15,5,6,53,350,98,76,13,16
11,7,2,5,29,57,36,35,15,14
10,8,5,7,16,27,22,26,16,14
5,8,8,3,23,43,29,39,18,19
6,10,6,0,25,54,39,50,15,23
9,9,5,5,21,32,26,27,11,16
13,7,0,3,44,224,93,86,18,21
4,4,4,0,56,464,115,105,24,13
9,11,6,4,50,362,100,84,20,10
3,9,0,0,57,355,100,77,15,24
13,6,0,0,52,361,91,76,15,15
10,6,6,7,26,55,37,35,15,11
9,9,7,7,15,29,21,26,15,13
7,9,8,5,23,42,32,41,19,19
11,12,3,5,24,53,39,46,14,26
9,9,3,3,21,34,26,27,13,19
10,3,3,4,46,225,89,90,20,16
4,8,9,0,58,464,122,103,20,15
4,15,0,1,56,371,101,78,17,17
10,12,0,4,57,368,96,76,18,17
14,3,2,1,49,371,96,76,15,15
7,7,7,6,27,55,36,37,12,11
11,8,7,5,17,27,22,25,15,13
12,9,3,1,24,40,33,38,16,23
11,7,2,2,26,57,37,46,16,23
10,8,6,5,21,33,25,31,14,16
2,4,7,0,48,224,92,93,23,16
9,13,1,1,66,464,126,100,19,20
15,12,0,1,58,377,105,81,17,20
8,4,0,3,50,370,95,79,17,12
8,5,5,1,56,369,101,82,14,14
8,10,3,3,30,55,41,37,12,14
12,10,5,3,19,28,22,23,14,15
9,9,2,6,24,43,30,36,17,20
8,4,5,3,26,57,38,48,18,22
5,7,8,7,19,32,25,31,13,13
11,8,3,0,50,225,96,93,19,18
10,12,2,0,61,465,129,98,21,19
12,7,1,5,52,373,99,78,19,12
2,4,0,0,51,367,100,84,16,11
4,11,3,0,60,365,102,83,9,19
10,12,5,4,27,58,39,36,13,14
14,9,6,4,19,29,24,26,13,17
6,8,4,4,24,43,29,36,17,19
7,7,7,4,26,56,36,50,17,23
7,11,8,4,23,33,30,32,14,15
13,12,0,0,51,227,93,92,21,19
15,10,0,3,54,468,123,100,25,16
6,0,2,3,54,372,97,79,16,13
8,9,8,0,59,365,103,80,9,15
3,14,0,0,55,368,106,84,17,19
10,10,3,6,26,56,39,34,16,13
8,11,4,6,16,28,20,23,13,15
8,9,5,2,21,43,30,39,16,18
6,9,9,0,29,52,38,49,15,22
9,12,5,4,22,35,30,32,16,18
12,9,0,6,47,230,95,91,20,18
11,10,7,4,56,465,120,98,20,12
5,8,1,3,58,372,99,86,19,14
8,11,0,0,50,364,97,79,11,21
12,9,4,3,49,371,103,79,17,17
12,8,3,5,29,57,36,35,16,11
9,10,8,7,17,27,21,24,12,13
8,9,5,3,23,42,30,40,18,19
9,9,2,1,28,54,39,49,16,24
11,10,5,5,17,34,27,29,12,16
13,9,0,4,44,231,94,93,25,15
6,9,6,0,63,462,119,105,19,17
5,14,4,2,52,373,102,84,19,14
5,9,0,3,48,370,101,78,15,18
17,8,4,6,52,370,97,79,19,9
12,8,5,3,29,56,37,36,14,13
11,9,6,4,18,27,22,25,14,13
8,10,4,0,23,40,30,38,13,24
