"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
4,3,1,2,3,10,9,2,1,2
4,0,1,0,5,6,7,2,0,3
6,0,3,2,6,10,10,4,4,3
5,3,1,3,4,9,9,1,2,2
5,5,2,4,1,10,17,13,4,3
6,2,1,2,5,9,15,14,3,3
2,0,3,0,3,3,5,5,0,1
1,0,0,0,0,0,2,0,0,0
8,1,1,3,4,16,179,44,1,3
8,2,1,2,4,12,26,18,3,5
5,2,2,1,4,6,11,10,1,2
3,0,1,2,3,4,7,7,0,0
4,2,2,2,1,6,11,8,0,4
7,2,1,1,2,6,9,9,2,1
6,2,3,1,4,7,14,10,5,2
6,1,3,3,2,7,16,11,0,3
2,2,0,0,0,2,5,4,0,0
2,0,1,0,0,0,0,0,0,0
6,1,1,0,0,15,84,24,1,1
9,4,5,5,5,12,28,16,1,4
5,2,1,3,3,4,14,7,1,2
4,2,1,0,1,3,9,4,1,1
4,0,3,2,1,7,11,9,2,1
4,2,2,2,1,6,7,8,1,3
6,3,5,2,3,6,14,10,5,2
6,0,4,3,3,7,13,12,3,3
2,2,0,2,1,3,6,4,0,3
1,0,0,0,1,2,1,1,1,0
7,0,5,0,5,10,86,21,3,3
5,2,4,3,5,8,20,14,3,4
4,3,1,0,3,3,8,7,1,2
6,1,1,0,3,2,7,7,2,0
7,1,3,2,4,5,11,7,2,1
6,0,2,2,4,3,9,9,0,3
5,3,4,2,9,6,12,10,3,4
4,2,5,2,7,3,16,10,1,3
2,1,1,3,2,1,5,3,2,0
2,0,0,0,1,3,0,1,0,0
6,0,4,1,17,8,58,11,0,3
6,2,5,4,11,6,18,9,3,3
5,1,2,1,4,3,9,4,3,1
5,2,3,0,5,5,9,4,1,1
6,0,3,1,6,5,8,7,0,3
5,2,0,1,6,5,7,5,2,2
7,3,5,3,6,3,15,7,2,3
5,2,3,5,4,1,13,3,3,1
2,3,1,1,1,2,4,0,1,1
3,0,0,0,2,0,0,2,0,0
6,1,4,1,15,0,46,4,1,2
6,4,2,3,9,2,40,2,2,2
5,2,4,2,2,2,10,3,1,3
7,0,4,0,6,0,8,4,0,2
8,2,2,2,7,2,9,3,2,3
3,2,3,2,5,3,11,3,2,2
9,5,3,4,4,2,9,4,4,1
6,2,3,1,4,5,10,3,3,2
1,0,2,0,1,1,3,2,0,2
1,0,0,1,1,0,0,0,0,0
6,1,3,2,7,2,19,3,1,1
9,3,5,0,4,1,20,2,1,3
5,3,3,2,4,2,7,3,0,3
4,2,2,2,3,2,6,2,2,2
5,3,5,2,2,1,9,2,2,1
5,3,3,2,4,1,6,3,1,1
7,4,4,3,3,3,10,5,2,2
5,3,4,1,5,4,11,4,1,4
2,1,0,0,2,1,5,2,2,0
1,0,0,1,0,0,2,0,0,0
8,2,3,1,4,1,45,2,1,2
8,0,5,1,6,2,27,5,1,5
5,3,2,3,5,0,9,3,3,2
3,3,3,1,1,0,9,0,2,1
7,2,4,0,2,2,10,2,2,2
7,1,1,1,4,2,6,5,1,1
7,4,4,4,6,4,8,7,4,2
7,3,4,2,4,1,8,3,4,4
2,1,3,0,0,1,3,2,0,1
2,0,0,0,0,0,0,1,0,0
10,0,2,0,4,2,17,5,1,2
8,3,1,3,3,1,16,5,3,2
4,2,3,2,2,1,7,3,2,1
5,1,4,1,3,4,6,6,0,3
6,3,2,2,5,2,8,3,2,3
5,2,1,3,3,0,7,4,2,3
7,4,2,2,6,4,8,5,4,2
7,4,4,2,8,2,8,4,1,2
5,2,3,0,4,2,4,3,1,2
2,0,0,0,3,0,3,2,0,3
8,1,2,3,17,2,17,5,2,1
10,1,3,3,11,3,13,4,3,4
7,0,4,0,4,2,5,5,0,3
4,2,2,1,6,1,5,1,0,3
3,3,1,2,7,0,7,2,4,3
5,0,4,3,4,1,7,4,1,1
