"V2","V3","V4","V5","V6","V7","V8","V9"
1,0,3,2,2,3,1,3
3,14,73,73,68,62,54,49
1,11,115,109,97,76,61,52
6,8,33,32,29,21,18,15
3,10,38,39,35,27,21,19
2,6,17,16,15,11,11,8
4,14,23,24,24,20,19,17
2,4,9,10,8,9,7,6
0,1,2,1,2,2,2,2
3,15,74,73,70,61,54,49
3,12,112,109,98,75,61,53
5,8,32,33,31,22,18,16
2,9,39,38,35,27,22,19
2,8,17,16,16,11,10,7
4,12,23,25,23,23,19,18
0,4,8,8,8,8,8,7
0,2,1,1,3,1,1,2
2,14,73,73,68,60,53,49
3,10,114,109,97,76,60,53
6,10,34,32,29,22,18,15
2,10,38,38,35,24,23,17
4,8,15,16,15,12,9,8
3,12,25,22,23,21,20,17
2,5,8,8,8,7,7,6
0,2,1,4,2,2,2,3
4,12,73,73,69,61,53,50
1,11,114,108,94,75,61,54
4,10,34,32,31,20,18,14
3,9,38,37,36,27,21,18
4,8,17,17,14,11,8,8
3,13,25,23,24,20,21,16
3,4,8,9,8,8,5,7
0,1,1,2,1,1,1,2
3,13,76,76,68,61,55,50
0,13,114,109,96,74,61,52
5,10,33,32,31,24,19,15
4,11,39,40,35,28,22,20
5,7,17,16,16,10,10,9
5,13,24,24,23,21,19,20
3,4,9,10,8,8,6,7
0,1,2,1,2,1,2,1
2,14,72,72,69,60,54,48
3,13,115,109,96,77,59,51
6,11,34,34,29,22,18,17
4,9,39,39,37,25,24,20
3,8,17,16,15,12,10,7
4,13,23,24,22,20,20,18
2,4,9,7,10,7,8,6
0,3,1,1,1,1,2,1
5,14,71,73,67,61,53,48
4,13,113,108,95,75,60,53
5,8,35,32,31,21,18,16
3,12,40,38,35,27,22,17
3,9,16,16,14,14,10,9
3,13,23,23,24,20,21,18
1,5,9,8,8,8,7,6
0,1,1,4,1,1,1,1
3,13,73,72,68,61,53,49
0,11,114,108,97,74,60,53
6,10,33,32,29,22,17,15
5,10,38,39,36,28,22,18
4,6,18,15,17,11,10,8
3,12,23,23,24,21,22,18
2,5,7,11,9,7,7,5
1,2,2,2,2,1,2,1
1,12,72,73,69,61,54,49
1,12,113,107,95,75,60,53
6,12,33,32,30,22,19,15
5,7,38,38,39,26,22,18
3,9,17,16,16,11,8,9
4,13,24,23,22,20,20,16
3,6,8,8,9,8,7,8
0,1,2,3,2,2,2,2
4,12,74,74,70,61,54,49
1,11,114,108,95,75,62,53
5,11,33,33,29,24,18,16
5,8,39,39,35,25,20,18
3,5,19,15,16,11,11,9
5,13,24,25,22,22,19,18
1,4,8,8,10,6,6,6
0,2,2,1,2,2,2,1
2,14,73,74,67,61,54,49
0,10,114,108,96,77,60,51
6,10,35,31,30,21,17,16
3,10,38,38,36,25,22,19
2,7,17,17,15,11,11,8
4,11,23,25,24,20,18,19
2,5,9,8,9,7,7,5
0,4,0,2,0,1,2,0
2,13,73,74,69,62,54,50
4,13,114,109,95,76,60,54
5,10,34,33,31,21,18,16
1,9,39,39,35,28,23,19
5,9,16,17,15,12,9,9
3,11,24,23,23,20,20,18
1,4,13,10,9,7,7,6
0,3,1,2,2,2,1,2
3,12,74,73,70,62,54,49
0,12,114,108,95,75,61,51
7,12,34,33,29,22,18,15
3,9,37,39,35,26,23,18
2,7,17,15,16,12,9,8
5,12,23,23,24,22,20,19
1,4,7,9,9,7,8,7
0,1,3,1,1,2,0,1
2,14,73,73,68,61,55,50
4,14,113,108,96,76,61,53
6,9,34,33,31,23,18,15
0,9,39,39,36,25,22,19
4,8,16,16,15,11,10,9
4,14,24,23,23,21,19,19
2,5,9,8,8,7,7,7
0,2,1,2,2,2,2,1
3,13,73,74,69,61,54,49
4,13,113,108,96,76,59,53
6,9,35,32,31,23,19,15
2,10,38,40,38,28,22,18
3,10,17,18,15,13,10,9
4,12,24,24,24,20,20,18
2,3,9,9,9,7,6,8
0,3,0,2,1,2,2,1
3,13,73,73,69,61,55,49
2,11,114,109,97,77,61,52
5,9,32,33,28,21,18,15
4,10,39,41,37,26,23,17
4,8,17,16,15,13,10,9
3,14,25,24,25,21,20,19
4,5,9,9,10,7,6,5
0,2,1,2,1,2,1,1
1,13,75,74,68,62,54,49
2,10,115,107,96,76,61,52
5,10,33,33,30,21,18,15
1,11,37,41,36,26,22,17
6,7,17,15,15,12,8,7
3,14,24,26,23,22,20,19
1,4,10,7,10,7,8,6
0,2,3,2,3,1,2,2
3,13,74,73,68,61,55,49
1,12,113,108,95,77,61,51
6,11,35,33,32,22,19,16
4,10,39,38,36,25,22,19
5,8,17,16,15,11,10,8
5,12,26,23,25,22,20,20
3,5,9,8,8,5,8,6
0,3,2,3,1,2,3,1
3,14,74,73,68,63,55,49
2,11,116,108,96,76,61,53
7,10,33,33,32,22,18,16
2,10,38,39,36,26,23,17
5,7,18,17,15,11,10,8
6,11,23,23,24,20,19,18
2,5,7,10,8,7,7,4
0,2,1,2,0,1,1,1
4,12,75,75,70,62,54,50
4,11,114,110,98,78,61,53
4,12,33,33,30,21,19,14
3,10,40,39,35,26,22,19
5,7,17,16,16,13,9,8
3,13,23,24,25,20,20,17
2,4,10,9,8,8,6,6
0,1,1,1,1,1,1,1
5,12,73,73,70,61,54,50
1,13,113,110,96,77,61,52
5,10,34,33,30,22,19,15
4,9,40,39,36,26,22,19
4,9,16,15,17,11,10,7
3,13,24,24,23,22,20,19
4,2,8,7,8,7,6,5
0,3,3,1,2,0,1,1
1,14,73,74,70,61,55,48
2,11,114,110,96,76,60,53
7,10,34,33,29,22,16,16
3,10,39,38,37,26,23,18
4,7,17,18,15,10,10,7
5,13,23,23,24,22,19,18
2,5,7,8,8,5,7,5
0,1,3,3,1,1,1,1
4,13,74,74,69,62,55,52
4,13,115,108,97,77,61,53
7,12,33,33,31,23,18,15
3,10,39,38,37,27,24,19
5,6,19,16,16,11,10,9
4,14,23,23,25,21,20,18
1,4,8,7,8,6,8,6
1,1,3,1,2,1,1,1
3,13,73,73,70,63,54,51
0,14,114,109,96,77,61,51
5,11,34,33,31,21,20,16
5,10,40,38,35,29,22,20
3,7,18,16,16,11,11,9
3,13,22,24,22,20,20,18
1,4,8,9,7,8,6,6
1,2,2,0,1,2,0,2
3,15,72,75,69,63,55,49
1,12,114,110,97,75,61,52
7,9,35,33,29,23,17,17
4,10,40,38,36,27,22,20
2,9,17,17,16,10,10,8
5,12,25,24,24,21,19,19
2,4,9,7,8,7,5,6
0,2,1,1,1,1,2,0
3,14,74,75,69,62,55,51
3,10,114,110,95,76,61,54
5,10,36,32,30,22,18,16
3,11,39,39,36,26,23,18
5,7,16,16,15,10,9,7
4,14,24,24,23,21,19,18
1,4,6,8,8,7,7,5
0,2,1,3,1,0,0,2
6,12,74,75,69,62,55,51
2,12,115,108,96,78,60,52
4,13,35,32,30,22,19,14
4,9,38,40,37,26,23,19
6,8,17,17,16,12,8,9
4,13,23,25,24,20,20,18
3,4,8,8,7,8,5,7
0,3,3,2,2,2,2,2
2,13,74,73,71,63,57,51
2,13,115,109,97,78,62,51
6,9,33,33,30,23,19,15
3,8,40,39,36,28,22,21
3,9,18,17,15,12,10,8
5,11,23,24,23,21,20,19
2,4,8,8,8,9,7,6
0,3,2,0,1,1,2,0
3,15,75,74,70,62,55,49
4,10,114,110,96,78,63,52
5,10,35,32,30,25,18,15
3,11,39,39,36,27,23,19
4,10,15,16,17,11,11,8
5,14,24,26,24,20,20,18
2,4,7,9,9,7,7,7
0,2,1,1,0,2,0,1
3,14,75,76,69,62,56,51
3,13,115,109,98,75,62,53
7,10,34,34,29,23,18,15
4,9,40,40,36,27,23,19
3,7,18,16,17,10,10,8
5,13,23,24,23,22,20,19
3,3,9,8,7,8,7,7
0,2,2,1,1,0,2,1
2,13,74,73,70,61,56,49
3,12,113,108,96,78,60,52
6,9,34,32,29,22,18,15
3,9,40,39,37,26,23,21
6,9,17,17,15,12,10,9
