"V2","V3","V4","V5","V6","V7","V8","V9"
1,5,13,15,13,14,11,9
0,9,132,181,114,124,73,80
0,9,136,209,94,100,51,61
1,7,29,44,23,23,15,16
1,7,29,41,23,28,17,15
2,5,12,16,9,11,5,5
0,10,36,39,36,34,32,29
2,8,31,35,28,30,22,22
3,5,13,15,13,14,10,10
0,6,136,181,117,121,74,80
0,7,135,207,93,100,53,59
1,9,29,44,21,26,16,16
3,6,30,43,24,25,14,15
2,3,13,16,11,10,6,6
0,10,36,39,35,35,30,29
4,8,30,33,30,29,23,24
4,4,15,14,12,12,11,10
0,9,132,182,115,122,74,79
0,10,135,208,91,101,53,60
2,8,28,44,24,23,14,16
3,5,29,40,24,25,15,16
3,7,12,17,8,11,7,5
2,9,36,40,37,34,31,30
3,7,32,32,30,29,23,23
1,4,14,16,14,14,11,10
2,7,133,185,115,123,73,79
0,9,136,207,93,98,51,60
0,6,30,43,23,24,16,16
4,8,29,44,22,26,17,15
1,7,13,16,10,13,6,6
2,11,38,40,36,36,32,29
3,10,30,35,29,31,25,23
1,4,15,17,15,15,10,11
1,9,135,181,118,122,72,79
1,6,135,206,95,100,54,61
0,8,27,44,21,24,16,15
2,7,29,43,24,27,15,15
5,6,13,16,11,12,7,8
1,12,37,40,35,35,32,28
4,7,30,33,30,29,24,23
3,5,15,16,14,13,11,11
0,7,137,183,118,122,74,81
0,9,135,207,93,101,55,60
3,8,28,42,23,24,15,17
1,6,29,40,25,25,15,15
2,5,13,17,9,10,8,5
0,9,36,37,36,35,31,29
3,9,30,33,27,27,24,23
2,5,16,17,14,14,11,10
0,11,136,183,117,124,74,81
2,7,135,205,95,100,53,61
2,8,29,42,24,22,14,16
1,6,27,40,22,24,16,14
2,6,11,15,9,12,8,6
3,9,38,38,36,32,30,29
1,9,28,34,28,28,24,21
2,5,14,16,14,14,11,9
0,8,135,183,117,121,74,81
0,7,136,206,94,98,54,60
3,9,26,43,22,22,16,16
2,8,30,43,24,24,17,15
1,6,14,15,11,12,7,6
1,11,36,40,34,32,30,27
3,9,30,33,28,27,22,23
4,4,15,15,13,12,10,11
0,9,137,184,118,122,74,79
0,9,137,209,95,98,55,62
1,9,30,45,23,24,15,15
2,6,30,44,25,26,16,16
2,5,11,17,11,11,7,7
3,10,35,37,34,33,32,29
2,9,29,33,27,26,22,23
3,5,11,15,14,11,11,7
0,11,137,184,111,123,75,80
0,10,139,210,91,100,54,60
3,7,28,43,24,24,16,17
2,8,29,44,25,26,17,15
1,7,13,17,8,11,7,8
2,10,35,38,34,33,29,30
3,9,29,34,26,28,27,22
2,5,12,13,10,11,9,8
0,9,138,181,110,122,73,81
3,9,137,209,89,100,54,61
2,10,28,44,20,23,15,16
1,9,32,45,25,29,18,18
2,5,13,16,9,12,7,8
0,12,36,38,33,34,32,28
3,9,33,34,28,30,24,22
1,5,11,13,11,11,8,9
0,12,136,183,112,123,73,80
0,11,137,210,89,100,52,60
2,8,30,44,21,25,14,17
1,8,31,46,25,29,15,18
1,6,13,18,10,10,7,7
3,11,37,38,33,35,29,30
2,9,30,33,29,31,25,24
2,6,12,14,11,11,9,8
0,12,136,184,114,124,73,80
1,9,140,210,92,103,54,61
3,9,30,44,25,25,15,16
0,10,30,46,26,27,17,16
2,6,15,20,10,14,8,8
2,9,36,39,36,36,32,30
2,11,30,36,30,34,27,23
3,4,12,14,11,11,7,9
1,9,137,184,114,125,73,81
0,10,138,209,93,103,52,59
2,9,27,45,24,23,14,16
1,7,33,48,27,28,18,17
4,8,16,18,12,12,8,8
1,11,37,40,34,35,32,29
1,9,32,37,31,33,26,25
3,4,12,12,12,11,8,8
0,12,136,186,117,127,73,79
0,10,137,209,99,103,54,59
1,9,30,44,24,26,15,16
2,8,32,47,28,29,16,18
2,7,13,18,13,13,8,7
2,9,38,39,33,34,31,30
4,9,31,35,29,29,24,24
0,6,11,14,12,12,9,8
