"V2","V3","V4","V5","V6","V7","V8","V9"
13,5,2,4,3,2,9,0
18,5,0,7,0,2,10,0
20,4,2,8,0,5,8,1
19,4,2,6,2,2,10,2
14,7,0,5,2,3,8,4
19,2,2,8,0,7,4,0
9,4,3,6,6,2,13,3
10,5,2,6,2,3,7,0
9,4,3,2,2,3,9,3
18,4,3,6,2,1,12,1
20,4,0,6,2,0,12,0
19,2,0,5,2,3,7,0
15,4,3,5,4,0,8,2
15,3,2,3,3,4,12,1
11,7,2,2,3,3,13,5
9,5,1,5,3,1,8,3
8,6,2,7,1,5,9,3
17,7,2,6,0,2,10,2
19,4,0,6,1,1,12,1
17,2,1,7,0,5,9,2
11,2,3,8,1,1,6,0
16,3,2,4,1,3,9,2
12,3,2,7,3,4,11,1
10,4,3,4,2,3,8,3
12,8,2,4,4,1,12,2
18,2,1,5,2,4,13,2
19,1,3,8,0,2,12,1
17,5,4,3,3,2,6,2
15,5,1,7,3,3,9,4
16,3,4,6,0,3,7,0
9,6,3,5,4,4,13,3
10,5,1,3,1,7,9,1
11,4,0,5,1,4,9,0
16,5,1,7,1,4,10,1
18,2,4,6,2,5,12,1
17,3,0,4,2,5,11,0
12,2,2,6,2,6,9,2
13,2,1,5,4,3,9,2
10,4,3,5,3,5,18,3
11,4,0,4,4,4,8,1
12,4,0,7,1,4,8,2
14,4,4,9,2,2,10,1
18,4,2,5,0,7,13,2
16,4,0,5,0,7,10,1
13,3,3,6,1,3,9,0
13,4,3,6,1,7,9,4
10,3,1,5,2,5,13,2
6,4,2,4,4,3,9,3
12,4,2,7,1,6,12,2
17,4,0,8,2,5,11,0
19,2,0,4,1,3,9,0
17,5,2,6,5,5,10,3
14,3,1,6,2,4,9,3
15,2,0,6,2,4,9,0
13,6,4,7,1,7,14,2
8,7,4,5,2,4,7,1
12,5,2,5,0,3,10,2
16,2,0,8,0,5,13,2
16,2,1,7,0,4,11,1
16,5,2,5,1,3,7,0
15,5,2,5,2,5,10,3
15,6,1,6,0,5,9,4
12,6,5,3,4,3,12,2
9,7,0,7,5,6,10,4
13,3,2,6,3,7,11,3
17,2,2,6,3,5,11,0
17,3,0,6,2,6,11,0
18,5,0,7,1,5,10,4
15,3,4,6,4,6,9,3
13,1,1,7,2,3,7,0
11,4,1,7,2,8,17,5
9,4,2,6,1,4,8,0
13,6,1,5,1,6,10,1
19,6,1,7,0,6,13,2
19,5,0,6,2,9,18,3
16,1,2,6,2,7,13,0
14,6,1,5,2,4,10,1
16,6,1,6,2,5,11,4
13,4,2,7,3,6,16,7
9,3,2,6,3,5,9,2
11,6,3,5,3,2,10,1
15,4,1,7,0,5,19,7
17,3,0,7,1,5,20,3
19,1,3,6,2,5,14,2
13,1,4,7,1,4,13,6
15,6,0,6,0,3,15,4
10,5,3,4,2,4,13,5
10,6,3,4,2,5,8,8
11,6,0,5,2,5,15,6
18,4,0,5,1,3,17,5
18,4,2,9,1,3,17,8
18,7,0,5,3,5,17,5
15,3,1,4,3,7,15,5
16,4,2,6,4,4,15,7
8,3,3,5,4,7,13,4
7,7,0,4,2,3,7,2
11,4,1,5,1,5,12,6
17,3,1,8,2,7,17,3
18,4,1,7,2,6,15,2
20,7,1,7,2,6,13,5
16,4,4,6,1,5,14,3
13,3,2,7,3,5,16,1
10,6,2,6,1,5,14,5
10,5,1,2,3,3,10,1
12,4,2,5,4,2,11,0
15,3,0,5,0,1,14,2
20,5,0,3,1,1,17,4
21,2,0,6,3,4,17,0
15,5,2,8,4,4,10,3
16,3,0,6,1,1,12,3
10,5,3,4,4,3,14,1
7,4,2,5,2,4,6,3
12,7,1,5,1,2,9,2
19,3,0,7,1,0,15,0
17,1,2,6,2,1,13,0
18,3,0,7,1,0,10,1
15,5,3,6,3,2,12,0
19,1,1,4,1,4,11,0
10,4,5,3,4,7,13,2
7,3,2,4,3,3,6,4
12,5,2,6,1,6,13,1
18,3,3,4,1,8,14,2
20,4,0,4,1,7,10,2
17,3,1,8,2,8,11,3
14,4,2,3,2,8,8,2
17,2,2,4,3,11,8,4
12,7,2,4,6,9,19,2
8,3,2,4,5,7,11,4
11,5,2,7,5,6,14,1
15,5,1,5,4,6,30,0
19,4,0,4,3,9,37,0
17,5,1,4,8,10,20,2
12,6,2,6,5,8,16,0
15,4,1,4,2,12,21,1
14,5,3,2,1,4,12,6
8,2,3,3,2,4,8,4
14,6,1,4,4,7,10,7
17,5,3,8,4,5,14,7
22,5,0,2,1,2,15,6
18,6,3,2,1,7,11,6
12,7,2,4,3,8,8,5
17,5,1,4,2,3,9,6
10,5,2,3,7,10,12,2
5,5,2,2,6,6,9,1
11,6,1,2,6,8,15,1
16,2,1,0,8,14,19,1
15,4,0,2,12,14,21,0
15,3,1,4,9,9,19,0
15,1,4,3,7,11,13,1
17,5,0,0,9,11,14,0
13,6,4,6,8,7,15,3
11,5,2,4,7,8,15,6
11,5,4,4,12,12,15,4
15,5,1,5,13,11,21,2
18,4,2,5,12,13,21,2
18,5,2,3,14,13,16,3
15,3,0,5,15,9,14,3
19,3,1,6,11,9,15,1
11,5,5,6,11,8,16,3
13,7,3,6,10,10,14,2
13,5,3,7,13,9,15,2
17,3,4,8,16,11,22,1
20,2,3,7,18,12,19,1
19,4,2,7,14,12,18,0
16,1,2,4,16,10,17,1
21,1,3,7,17,10,13,1
10,4,2,3,9,7,16,2
11,4,4,6,9,8,14,4
13,5,4,3,9,9,13,2
16,6,2,1,12,12,18,0
19,3,3,5,15,11,22,2
19,4,2,4,16,10,15,1
15,6,3,3,14,8,13,0
20,3,0,2,11,8,13,3
9,5,4,3,6,7,14,3
13,4,4,4,7,6,16,2
