max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
362,120,232.8333333,228.5,3412.252336,4159,25146,5.44973545,3.494219653,4.679931599,4.696855383,0.132353965,27.62595012,505.4326126,6.970588235,4.653179191,5.785279129,5.747082449,0.313132055,27.5552,624.810146,none,dynamic,16,man,scratch
336,112,190.3148148,187,1901.189685,3295,20554,5.528985507,3.431547619,4.791002749,4.770968319,0.105895145,26.78173881,517.4282969,5.814569536,4.018450185,4.950070262,4.952534113,0.167882269,40.4057785,534.6075883,none,dynamic,16,man,scratch
475,147,224.5185185,199,5172.009,2674,24248,6.04519774,4.76969697,5.40134367,5.404410873,0.049325243,20.8760491,583.3451163,6.599236641,4.801169591,5.637422331,5.63190184,0.183203875,23.1666533,608.8416117,none,dynamic,16,man,stroke
576,140,268.9444444,219.5,10933.5296,3958,29046,5.731707317,4.175,5.101395493,5.175845069,0.095998872,20.22372095,550.9507132,7.080645161,5.136612022,5.901950759,5.791336068,0.22745094,23.84125904,637.410682,none,dynamic,16,man,stroke
462,150,237.6666667,196.5,5918.616822,2967,25668,5.640776699,4.258169935,5.138417861,5.182883361,0.093967834,24.0756668,554.949129,6.256302521,4.581632653,5.417398831,5.435632786,0.16401103,22.53093541,585.0790738,none,dynamic,16,man,stroke
476,138,236.1851852,217,4242.432676,3472,25508,5.816216216,4.481092437,5.268045924,5.298826189,0.082079391,20.52323098,568.9489598,6.602941176,4.627329193,5.435132511,5.402247191,0.165738746,23.74366076,586.9943111,none,dynamic,16,man,stroke
423,109,223.0648148,222,2676.808844,4275,24091,5.659340659,4.174757282,4.962896332,4.950785175,0.082755128,27.59167185,535.9928039,5.781553398,4.276995305,5.130470013,5.093791209,0.092337356,29.10414401,554.0907614,none,dynamic,16,man,tickle
523,121,227.9537037,212.5,6763.782883,3526,24619,5.941176471,4.689655172,5.287853392,5.287157491,0.073954807,26.26710586,571.0881664,6.644,4.523316062,5.296654188,5.263042025,0.151660743,25.6692991,572.0386524,none,dynamic,16,man,tickle
451,117,195.9351852,173,4568.603236,3060,21161,6.062015504,4.469387755,5.364260822,5.364742665,0.05971857,21.75301011,579.3401687,6.495967742,4.382978723,5.268179376,5.248935346,0.154116391,30.91458721,568.9633726,none,dynamic,16,man,tickle
348,105,175.2037037,168,1813.883351,2591,18922,6.355072464,4.222222222,5.287009612,5.317266744,0.1150594,33.56485683,570.9970381,6.11627907,4.561904762,5.199564823,5.147151217,0.091649839,29.29368553,561.5530009,none,dynamic,16,man,tickle
